10 january  10 de enero
11.15 p.m.  11.15 de la noche
11.30 a.m.  11.30 de la mañana
12.00 p.m.  12.00 de la tarde
12.25 p.m.  12.25 de la tarde
12 p.m.     12 de la tarde
13 february 13 de febrero
13 january  13 de enero
13 october 1999 13 de octubre de 1999
1.40 p.m.   1.40 de la tarde
14 february 14 de febrero
14 november 14 de noviembre
14 september    14 de septiembre
15 september    15 de septiembre
18 december 1996    18 de diciembre de 1996
18 february 2000    18 de febrero de 2000
18 november 18 de noviembre
18 november 1999    18 de noviembre de 1999
1 april 1998    1 de abril de 1998
1 january   1 de enero
1 january 1988 1 de enero de 1988
1 january 1997  1 de enero de 1997
1 january 1999  1 de enero de 1999
1 january 2000  1 de enero de 2000
1 july 1999 1 de julio de 1999
1 july 2001 1 de julio de 2001
1 june 1999 1 de junio de 1999
1 september 1 de septiembre
2.10 p.m.   2.10 de la tarde
21 july 21 de julio
2 december 1999 2 de diciembre de 1999
30 april    30 de abril
30 june 2002    30 de junio de 2002
30 september    30 de septiembre
3 january   3 de enero
3 october 1999  3 de octubre de 1999
3 p.m.  3 de la tarde
48-hour 48-horas
4 june 1967 4 de junio de 1967
4 june 1998 4 de junio 1998
5.00 p.m.   5 de la tarde
5.30 p.m. 5.30 de la tarde
5 october 1999  5 de octubre de 1999
6.00 p.m.   6.00 de la tarde
6 december 1999 6 de diciembre de 1999
7.50 p.m.   7.50 de la tarde
7 december 1999 7 de diciembre 1999
acp análisis de componentes principales
agri-foodstuffs sector  el sector de agri-comida
air-borne   air-borne
anti-discrimination anti-discriminación
anti-european   anti-europeo
anti-fascist    anti-fascista
anti-green  anti-verde
anti-liberalism anti-liberalismo
anti-minority   anti-menoridad
anti-semitic    anti-semita
anti-semitism   anti-semitasimo
auto-oil programme  el programa de auto-petroleo
awoken self-consciousness   despertada auto-conciencia
bse crisis  la crisis de la encefalopatía espongiforme bovina
bse-infected    infectado de la encefalopatía espongiforme bovina
gdp producto interno bruto
gmo omg
gmo additives   aditivos omg
gnp pib
god-given   hecho de dios
greens/european verdes/europeos
half-an-hour    media hora
ira gai
left-overs  sobras
